name,address
BEST DRY CLEANERS,459 SANTA FE DR ENCINITAS CA 92024
MANOR CLEANERS,125 MISSION RD FALLBROOK CA 92028
LOMAS SANTA FE CLEANERS,917 LOMAS SANTA FE DR SOLANA BEACH CA 92075
UNIVERSAL CLEANERS,568 SANTA FE DR ENCINITAS CA 92024
POINSETTIA CLEANERS,1005 CARLSBAD VILLAGE DR G CARLSBAD CA 92008
EL CAMINO CLEANERS,1335 ENCINITAS BLVD ENCINITAS CA 92024
BANS CLEANERS,981 TAMARACK AV CARLSBAD CA 92008
FALLBROOK CLEANERS,1115 MAIN AV S FALLBROOK CA 92028
DEL MAR CLEANERS,2644 DEL MAR HEIGHTS RD DEL MAR CA 92014
MISSION SAN LUIS REY CLEANERS,3772 MISSION AV Y OCEANSIDE CA 92054
LA COSTA REAL CLEANERS,7720 EL CAMINO REAL CARLSBAD CA 92009
ENCINITAS CLEANERS,130 ENCINITAS BLVD ENCINITAS CA 92024
VISTA WAY CLEANERS,955 VISTA WY E VISTA CA 92084
HOOVER DRY CLEANERS / VISTA,944 SANTA FE AV S VISTA CA 92084
WEST VILLAGE CLEANERS ,162 RANCHO SANTA FE RD ENCINITAS CA 92024
CAROLS CLEANERS,212 COAST HY N F OCEANSIDE CA 92054
ANTOINES CLEANERS,1522 ENCINITAS BLVD ENCINITAS CA 92024
WINDMILL CLEANERS ,6020 PASEO DEL NORTE CARLSBAD CA 92008
PLAZA SOUTH CLEANERS,2620 EL CAMINO REAL B CARLSBAD CA 92008
DRY CLEAN AMERICA / OCEANSIDE ,3881 MISSION AV C7 OCEANSIDE CA 92054
